#ID,RA,DEC,RV,RV_err,RAD
NGC4697_S30,192.17916,-5.752787,1193,10,3.38
NGC4697_S31,192.16619,-5.76425,1161,8,2.41
NGC4697_S32,192.15306,-5.811369,1219,14,0.67
NGC4697_S33,192.10521,-5.796359,1297,12,2.66
NGC4697_S34,192.20125,-5.766013,1208,14,3.73
NGC4697_S35,192.16291,-5.804288,1131,34,0.83
NGC4697_S36,192.09876,-5.776996,1265,16,3.35
NGC4697_S37,192.12202,-5.808612,1378,17,1.71
NGC4697_S38,192.13725,-5.815881,1286,24,1.17
NGC4697_S39,192.11857,-5.805606,1541,19,1.87
NGC4697_S40,192.19212,-5.768985,990,47,3.18
NGC4697_S41,192.10617,-5.76478,1015,26,3.37
NGC4697_S42,192.19742,-5.772004,1326,28,3.34
NGC4697_S43,192.19563,-5.803055,1103,29,2.76
NGC4697_S44,192.1193,-5.813043,1498,41,1.95
NGC4697_S45,192.11384,-5.805707,1238,33,2.15
NGC4697_S46,192.17967,-5.788153,1137,32,1.95
NGC4697_S47,192.16226,-5.797414,1144,18,0.79
NGC4697_S48,192.11456,-5.825331,1460,17,2.55
NGC4697_S49,192.15575,-5.797035,1152,41,0.43
NGC4697_S50,192.14091,-5.798452,903,17,0.53
NGC4697_S51,192.0567,-5.808315,1190,9,5.56
NGC4697_S52,192.04644,-5.810017,1393,16,6.18
NGC4697_S53,192.18957,-5.813352,1053,4,2.51
NGC4697_S54,192.18124,-5.82221,1209,4,2.29
NGC4697_S55,192.13244,-5.830123,1093,5,2.04
NGC4697_S56,192.11462,-5.813869,1299,5,2.23
NGC4697_S57,192.14832,-5.793884,1261,10,0.42
NGC4697_S58,192.12111,-5.819975,939,4,2.05
NGC4697_S59,192.1639,-5.790338,845,11,1.06
NGC4697_S60,192.13003,-5.790516,1150,10,1.31
NGC4697_S61,192.12952,-5.812399,1441,9,1.38
NGC4697_S62,192.15226,-5.790391,1278,10,0.64
NGC4697_S63,192.16798,-5.835759,1444,16,2.37
NGC4697_S64,192.13083,-5.80663,1310,10,1.17
NGC4697_S65,192.19994,-5.798693,1227,23,3.01
NGC4697_S66,192.13355,-5.810355,1343,12,1.11
NGC4697_S67,192.16573,-5.801771,1434,16,0.97
NGC4697_S68,192.13121,-5.795811,1298,19,1.13
NGC4697_S69,192.11432,-5.798409,1322,22,2.1
NGC4697_S70,192.14648,-5.829826,1228,17,1.75
NGC4697_S71,192.10029,-5.745973,1568,20,4.41
NGC4697_S72,192.18168,-5.854615,1249,30,3.76
NGC4697_S73,192.11696,-5.779318,1165,27,2.33
NGC4697_S74,192.21599,-5.841054,1350,16,4.65
NGC4697_S75,192.21358,-5.814244,1327,21,3.91
NGC4697_S76,192.12315,-5.78886,1403,23,1.73
NGC4697_S77,192.16783,-5.801559,1183,22,1.1
NGC4697_S78,192.14069,-5.782546,1387,34,1.21
NGC4697_S79,192.07832,-5.801728,1442,19,4.25
NGC4697_S80,192.16531,-5.810597,1229,27,1.11
NGC4697_S81,192.18592,-5.808169,1235,25,2.22
NGC4697_S82,192.22066,-5.813903,1042,38,4.32
NGC4697_S83,192.21972,-5.82251,1164,26,4.39
NGC4697_S84,192.15503,-5.796019,1134,7,0.44
NGC4697_S85,192.15447,-5.803407,1345,14,0.34
NGC4697_S86,192.14567,-5.808685,1098,19,0.53
NGC4697_S87,192.12927,-5.751243,1066,29,3.21
NGC4697_S88,192.06662,-5.749777,1275,8,5.82
