Line_number2,objID,ra,dec,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,specObjID,Redshift
601,1237651251485475075,130.022511544678,51.2149556494488,STAR,20.68169,20.64004,20.75488,20.49326,20.37515,8211300833641033728,1.745244
602,1237651191358947332,133.573407074245,53.4597898172324,STAR,18.2928,17.48099,17.19955,16.89115,16.58717,505604131717670912,2.417221
602,1237651191358947332,133.573407074245,53.4597898172324,STAR,18.2928,17.48099,17.19955,16.89115,16.58717,5802911307993378816,2.407055
611,1237651191360716958,138.886975427937,56.2951829295997,STAR,20.09317,19.79005,19.39685,19.32678,19.42238,6445927161160986624,1.199794
612,1237651191360717033,138.757844819714,56.2745188274443,STAR,20.90157,20.66618,20.31181,20.34711,20.40146,6445926061649358848,1.085326
613,1237651191360717148,138.785239007704,56.2211120731221,STAR,22.63891,21.07474,21.56421,21.56069,22.89925,6443561836301971456,2.857032
616,1237651191363338368,147.964844951231,59.7416748582465,STAR,20.29578,19.61955,19.74083,19.74244,19.43557,6439117325643476992,2.339731
616,1237651191363338368,147.964844951231,59.7416748582465,STAR,20.29578,19.61955,19.74083,19.74244,19.43557,510194867893200896,2.337461
621,1237651191363338915,148.126932980118,59.7778595553181,GALAXY,22.47868,21.78033,20.60885,19.92933,19.70317,6439109079306268672,0.5243141
622,1237651191899750620,145.513915961354,59.6193123958556,GALAXY,21.1705,20.45951,19.64405,18.7366,18.44965,6435676965000900608,0.5355546
626,1237651192427184536,120.47608055007,44.2094322465526,STAR,22.10615,21.46157,21.12289,19.83781,20.54558,490910807794673664,0.556103
626,1237651192427184536,120.47608055007,44.2094322465526,STAR,22.10615,21.46157,21.12289,19.83781,20.54558,7179011689600970752,0.5561467
627,1237651192436687028,145.560697775857,59.994520245041,GALAXY,17.97387,16.87766,16.12367,15.69967,15.44807,510134944509487104,0.07538429
628,1237651190826598647,148.797226338066,59.6751877699116,STAR,24.38568,20.54986,18.55993,18.30556,18.13215,867022956025374720,4.354057
628,1237651190826598647,148.797226338066,59.6751877699116,STAR,24.38568,20.54986,18.55993,18.30556,18.13215,6439087638829527040,4.357882
629,1237651190826598750,148.808723553008,59.7036849389325,STAR,20.9658,20.74868,20.6672,20.69849,20.62052,6439086539317899264,0.9302704
632,1237651190826598523,148.773524030162,59.5881782543882,STAR,19.27076,19.10991,18.93058,19.00105,18.82272,867025155048630272,0.9101411
633,1237651212287082526,257.862241452454,58.9289371469232,STAR,19.2437,18.86387,18.93981,18.77162,18.73707,397482827861485568,0.5375546
634,1237651212287082667,257.936764765591,58.8221081200315,STAR,19.26917,19.09036,19.05597,18.83746,18.96569,397487500785903616,1.530754
640,1237651212287148115,258.031004839293,58.7984692449969,STAR,18.00458,18.01681,17.92547,17.95845,17.52445,399806647112853504,0.2692253
642,1237651212287148334,257.82359521265,58.6899496299915,STAR,19.21894,18.68914,18.60775,18.33879,18.37285,397466884942882816,0.6159015
659,1237671940340973892,255.558334216232,64.3316544610685,GALAXY,20.7797,18.35215,16.9488,16.41258,16.13078,394148283771021312,0.2226738
664,1237671940340908125,255.252579954008,64.2025339241399,STAR,16.74166,16.05297,15.93894,15.83812,15.76962,393088079818156032,2.737447
668,1237671940340973845,255.537009635563,64.2058426931483,GALAXY,17.37931,15.98066,15.23646,14.80643,14.5274,393099074934433792,0.08428217
685,1237671767468409118,256.44546602769,63.1831092913071,GALAXY,18.90037,18.46347,17.98479,17.59475,17.44981,392959436957706240,0.1185764
689,1237651213359513897,257.32173195541,61.8895567222338,GALAXY,19.06496,18.79103,18.26311,18.05683,17.59118,395354999275677696,0.2924589
