Name,type,RA,Dec,Mv,Mstar,Re,Sig
B209-G261,5,11.010958,41.424047,-8.3,2.70E+05,1.4,9.2
B211-G262,5,11.012187,41.334611,-8.1,2.58E+05,2.5,4.6
B212-G263,5,11.012829,41.082297,-9.6,6.95E+05,2.9,13.1
B213-G264,5,11.014633,41.510736,-8.1,3.56E+05,1.7,16.2
B215-G266,5,11.026667,41.528775,-7.7,2.70E+05,2.9,7.8
B217-G269,5,11.044162,41.397511,-8.3,4.19E+05,2.4,7.9
B218-G272,5,11.059696,41.322033,-10.2,2.30E+06,3.2,20
B219-G271,5,11.062688,40.946492,-8.6,4.70E+05,2.2,8.8
B220-G275,5,11.081125,41.509625,-8.3,2.47E+05,5.2,7.1
B221-G276,5,11.096096,41.551761,-8.5,3.56E+05,2.9,8
B224-G279,5,11.112792,41.480475,-9.6,7.62E+05,8.5,9.9
B225-G280,5,11.123167,41.359797,-10.8,4.70E+06,2.2,32
B230-G283,5,11.1466,40.953408,-8.8,3.56E+05,2.1,10.4
B231-G285,5,11.160617,41.463089,-7.5,1.49E+05,1.3,6.9
B232-G286,5,11.167625,41.250117,-9,6.05E+05,2.4,14.3
B234-G290,5,11.193229,41.488269,-7.9,3.48E+05,1.5,9.2
B235-G297,5,11.241321,41.489922,-8.5,6.05E+05,2.1,9.1
B236-G298,5,11.2871,40.841306,-7.1,1.05E+05,3.1,4
B237-G299,5,11.288479,41.37625,-7.7,1.49E+05,5.7,7.1
B238-G301,5,11.311146,41.326917,-8.5,4.19E+05,3.5,7.5
B240-G302,5,11.354333,41.106158,-9.5,9.37E+05,2.8,13.7
B257-V219,5,10.513683,40.970536,-8.7,4.92E+05,2.6,8.3
B266,5,10.764696,41.675339,-7.8,1.67E+05,2.8,4.1
B268,5,10.779967,41.196614,-6.4,1.10E+05,0.8,5.7
B283-G296,5,11.23085,41.283439,-7,1.45E+05,3.4,3.7
B289-000,5,8.587008,41.797539,-8.4,3.25E+05,3.2,9.6
B311-G033,5,9.890521,40.520744,-9.7,1.03E+06,2.5,16.5
B335-V013,5,10.173721,40.641156,-8.6,3.40E+05,5.5,5.6
B338-G076,5,10.245292,40.596608,-10.6,2.58E+06,4.3,22.2
