Name,type,RA,Dec,Mv,Mstar,Re,Sig
NGC4564,EsS0s,189.112473,11.43932,-20.2,3.71E+10,1486.7,174.2
NGC4570,EsS0s,189.222504,7.246663,-20.6,4.44E+10,1484.5,191
NGC4578,EsS0s,189.377274,9.555121,-19.8,2.11E+10,2622.8,110.4
NGC4596,EsS0s,189.983063,10.176031,-20.7,7.50E+10,4295.9,151
NGC4608,EsS0s,190.305374,10.155793,-20,4.15E+10,3707.3,137.7
NGC4612,EsS0s,190.38649,7.314782,-19.6,1.07E+10,2315.7,85.9
NGC4621,EsS0s,190.509674,11.64693,-21.2,1.30E+11,3219.3,223.9
NGC4623,EsS0s,190.544601,7.676934,-18.8,6.64E+09,1742.3,68.4
NGC4624,EsS0s,191.274826,3.055684,-20.8,6.53E+10,4688.8,143.2
NGC4636,EsS0s,190.707779,2.68778,-21.5,1.91E+11,6500,199.5
NGC4638,EsS0s,190.697632,11.442459,-20.1,2.36E+10,1246.3,120.2
NGC4643,EsS0s,190.833893,1.978399,-20.8,7.00E+10,2871.2,152.8
NGC4649,EsS0s,190.916702,11.55261,-22.5,4.52E+11,6421.3,314.8
NGC4660,EsS0s,191.133209,11.190533,-19.8,2.58E+10,939,217.8
NGC4684,EsS0s,191.822861,-2.727538,-19.3,8.43E+09,1326.9,68.7
NGC4690,EsS0s,191.981323,-1.655975,-20,4.17E+10,3800.1,112.7
NGC4694,EsS0s,192.062881,10.983624,-19.2,7.96E+09,2404.7,61.9
NGC4697,EsS0s,192.149612,-5.80085,-21,1.17E+11,3921.7,180.7
NGC4710,EsS0s,192.412323,15.16549,-20.6,5.74E+10,2570.7,105
NGC4733,EsS0s,192.778259,10.912103,-18.9,7.52E+09,2517.3,56.2
NGC4753,EsS0s,193.092133,-1.19969,-22.2,2.01E+11,6418.2,183.2
NGC4754,EsS0s,193.073181,11.31366,-20.7,5.35E+10,2390,179.5
NGC4762,EsS0s,193.233536,11.2308,-21.6,9.12E+10,3843.1,134.6
NGC5173,EsS0s,202.105301,46.591572,-20,1.83E+10,2088.8,101.2
NGC5198,EsS0s,202.547546,46.67083,-21.2,1.54E+11,4367.9,201.4
NGC5273,EsS0s,205.534943,35.65424,-19.5,9.53E+09,2967.6,74.1
NGC5308,EsS0s,206.751633,60.973038,-21.2,1.22E+11,2264,237.7
NGC5322,EsS0s,207.313339,60.190411,-22.4,3.01E+11,6501.6,248.3
NGC5342,EsS0s,207.85791,59.863014,-19.7,2.73E+10,1267.1,179.5
NGC5353,EsS0s,208.36142,40.283123,-22.2,2.72E+11,3236.8,289.7
NGC5355,EsS0s,208.43985,40.338795,-19.5,9.82E+09,1985.9,82.8
NGC5358,EsS0s,208.501801,40.27742,-19.1,1.19E+10,1586.2,76.9
NGC5379,EsS0s,208.893112,59.742825,-19.2,7.31E+09,2527.5,69.2
NGC5422,EsS0s,210.175262,55.164478,-20.8,6.82E+10,2661.5,174.6
NGC5473,EsS0s,211.180176,54.89262,-21.3,8.22E+10,3611.7,214.8
NGC5481,EsS0s,211.671722,50.72332,-19.8,4.10E+10,2787.4,149.3
NGC5485,EsS0s,211.797134,55.001518,-20.7,1.03E+11,3531.6,179.1
