objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,snMedian,clean,h_m_2mass,j_m_2mass,k_m_2mass,classification,w1mag,w2mag,w3mag,w4mag
1237661950785290246,170.544376201174,12.9357548600678,0.0003180085,1,0.0002074168,0.0004393788,18.55687,17.37552,16.93461,16.75582,16.68427,1.550795,0.7683837,33.34911,1,15.493,15.937,15.61,6,15.356,15.655,12.018,8.492
1237667910058770450,190.948201345485,23.7628126006352,0.02674128,0,0.03686373,0.0002530105,19.40774,17.75828,17.01896,16.7243,16.5748,1.11696,0.556065,39.14307,1,15.016,15.58,15.017,6,14.406,14.387,12.207,8.384
1237649963532484853,58.1028544386182,-5.21582385723846,0.0475889,0.8576384,0.05936376,0.0003880294,19.14162,18.01784,17.51012,17.27534,17.16907,1.441126,0.7413087,38.64835,1,15.971,16.391,15.475,6,15.234,15.296,11.998,8.129
1237673451096768565,79.155353333848,15.8526006811066,2.302823E-05,1,0.0001126863,0.0002430306,16.89646,15.4431,14.83708,14.59929,14.48264,1.044505,0.5458671,49.43069,1,13.173,13.517,13.006,6,12.984,12.988,11.43,8.506
1237646797062800301,118.890665847094,0.134534096776356,0.004946417,1,0.006394028,0.0002271629,21.07782,18.5871,17.49443,17.08458,16.87171,1.232952,0.6251386,29.79071,1,15.16,15.892,14.933,6,14.601,14.559,11.841,8.013
1237667782269796363,119.172878969921,9.23210906525973,5.917818E-05,1,5.020031E-06,0.0005379326,17.2156,15.94584,15.41563,15.18037,15.06917,1.075498,0.5512702,63.94477,1,13.625,14.083,13.607,6,13.53,13.517,11.657,8.152
1237667731267125950,120.148220657995,10.2529373296021,0.03196373,0,0.03898956,0.0002593953,18.96261,17.57704,17.01739,16.7961,16.67987,1.305539,0.6538771,37.7464,1,15.168,15.732,15.432,6,15.044,14.943,11.802,8.776
1237667536920248617,120.16319754017,10.3668542024789,0.0004096979,0,0,0.0002704701,19.21172,17.85146,17.32377,17.1251,17.04266,1.139495,0.5831718,32.13811,1,15.941,16.183,15.71,6,15.402,15.4,13.739,8.561
1237664875656708120,129.545744850305,24.364643116709,0.05188618,0.9180659,0.06145117,0.0007819839,18.42508,17.52477,17.18892,17.05401,17.00534,1.451809,0.7328059,47.08244,1,15.954,16.197,16.689,6,16.018,15.061,11.504,8.095
1237664875656642623,129.493652809994,24.2558013814183,0.08095551,1,0.127986,0.0004970214,18.42924,17.16932,17.07011,17.03706,17.02124,1.490874,0.7440521,48.68456,1,16.231,16.249,15.836,6,16.073,15.271,11.927,8.019
1237667430628720651,135.983370913782,19.2073150791565,0.007529892,0,0.009917689,0.0004914332,18.58501,17.63825,17.29755,17.15759,17.11618,1.031934,0.528599,28.11555,1,16.222,16.31,15.739,6,16.061,15.887,12.3,8.583
